일자,시가,고가,저가,종가,거래량
2016-07-14,29620,30000,29520,30000,248605
2016-07-15,30000,30439,29720,30360,232463
2016-07-18,30360,30660,30000,30660,231344
2016-07-19,30560,30799,30440,30660,202445
2016-07-20,30659,30840,30480,30800,155463
2016-07-21,30800,30940,30740,30860,170894
2016-07-22,30120,30560,30120,30320,171703
2016-07-25,30000,30460,29900,30040,154650
2016-07-26,30000,30619,29960,30600,144570
2016-07-27,30240,30580,30240,30540,126701
2016-07-28,30660,30720,29960,30140,190074
2016-07-29,30400,31140,30220,30780,299712
2016-08-01,31380,31600,31200,31360,230308
2016-08-02,31360,31360,30920,30960,166316
2016-08-03,30960,30960,30340,30340,150098
2016-08-04,30380,30660,30340,30340,140199
2016-08-05,30580,31280,30500,31220,139177
2016-08-08,31320,31500,31120,31380,222503
2016-08-09,31480,31580,31140,31340,180464
2016-08-10,31340,31400,30680,30820,246807
2016-08-11,30820,31180,30520,31180,210672
2016-08-12,31180,31400,30880,30900,209497
2016-08-16,30900,31520,30900,31360,216862
2016-08-17,31380,31399,31020,31320,148929
2016-08-18,31340,32880,31320,32800,366541
2016-08-19,32760,33500,32720,33500,336103
2016-08-22,33480,33840,33180,33300,252244
2016-08-23,33300,33880,33140,33740,230914
2016-08-24,33600,33640,32720,33060,318771
2016-08-25,32600,33180,32440,32780,283476
2016-08-26,32120,32460,32060,32240,241160
2016-08-29,32040,32800,31940,32800,178515
2016-08-30,32940,33420,32660,32900,156992
2016-08-31,32820,32820,32220,32400,410644
2016-09-01,31660,31760,31260,31740,375803
2016-09-02,31900,32260,31760,31940,163060
2016-09-05,31800,32300,31700,32120,167676
2016-09-06,32140,32900,31940,32860,153203
2016-09-07,32960,33040,32420,32420,191837
2016-09-08,32460,32780,32280,32780,241417
2016-09-09,32220,32360,31280,31500,265168
2016-09-12,29800,30119,29119,29300,529987
2016-09-13,30159,30980,29900,30540,494345
2016-09-19,30760,31380,30720,31160,448163
2016-09-20,31180,31759,31180,31700,258423
2016-09-21,31900,32019,31520,31840,210181
2016-09-22,32000,32820,31980,32360,228599
2016-09-23,31640,31960,31320,31420,365993
2016-09-26,31420,31920,31280,31360,290496
2016-09-27,31000,31500,30660,31380,196688
2016-09-28,31080,31460,31080,31340,174128
2016-09-29,31459,32380,31440,32000,227951
2016-09-30,31800,32300,31700,31960,235254
2016-10-04,32200,32480,32120,32280,261062
2016-10-05,32020,32520,31940,32380,249409
2016-10-06,33920,34000,33340,33820,591163
2016-10-07,34000,34320,33800,34120,521011
2016-10-10,33000,33780,32560,33600,505866
2016-10-11,31999,32500,30900,30900,768543
2016-10-12,29900,30900,29880,30700,781771
2016-10-13,31000,31620,30900,31140,437291
2016-10-14,30960,31760,30940,31540,283179
2016-10-17,31299,32040,30760,31800,255704
2016-10-18,31439,31900,31439,31780,207690
2016-10-19,31580,32860,31500,32500,308891
2016-10-20,32520,33020,32179,32400,206609
2016-10-21,32120,32260,31760,31780,209550
2016-10-24,31860,32159,31800,32160,185799
2016-10-25,31999,32080,31840,31940,197322
2016-10-26,31939,31980,31240,31340,210680
2016-10-27,31420,32340,31120,31460,282340
2016-10-28,31600,32280,31600,32280,204284
2016-10-31,32320,32780,32220,32780,241344
2016-11-01,32600,33040,32240,33040,206948
2016-11-02,32800,33040,32620,32860,201985
2016-11-03,32600,32800,32120,32320,206837
2016-11-04,32100,32680,32100,32540,142077
2016-11-07,32940,33000,32680,32800,153238
2016-11-08,32980,32980,32700,32880,108349
2016-11-09,32920,33140,31820,31920,313672
2016-11-10,32600,33000,32360,32980,235907
2016-11-11,31700,32360,31700,31960,256736
2016-11-14,31899,31919,31040,31060,302666
2016-11-15,31060,31620,30780,30780,273314
2016-11-16,30800,31280,30800,31160,266164
2016-11-17,31100,31520,30900,31360,157411
2016-11-18,31639,31760,31400,31720,189215
2016-11-21,31300,32119,31300,31860,163604
2016-11-22,32140,32900,32000,32800,195022
2016-11-23,33220,33220,32520,32980,253372
2016-11-24,32980,33040,32660,33000,155143
2016-11-25,32820,33040,32660,33000,125538
2016-11-28,33000,33620,32800,33540,265881
2016-11-29,33800,33960,33380,33540,361626
2016-11-30,33540,34940,33540,34920,570704
2016-12-01,34800,35060,34660,34980,310707
2016-12-02,34480,34760,34140,34540,307059
2016-12-05,34340,34680,34220,34360,169692
2016-12-06,34440,35200,34400,34960,280036
2016-12-07,35040,35480,35040,35440,192073
2016-12-08,35980,36020,35520,35800,329251
2016-12-09,35900,35900,35400,35600,213049
2016-12-12,34660,35360,34660,35040,228289
2016-12-13,34620,35440,34620,35320,233689
2016-12-14,35560,35680,35280,35540,149102
2016-12-15,34820,35500,34820,35180,115471
2016-12-16,35300,36020,35200,35860,234954
